lagoslakeid,HU4,lon,lat,random25_holdout,random75_holdout,hu4_ag50_holdout,hu4_strat75_holdout,hu4_random50_holdout,cluster_strat75_holdout,cluster_random50_holdout,tp,tn,chal,secchi,maxdepth_m,IWS_lk_ratio,iws_nlcd2006_for,lake_sdf,lakeconn_v2_1,lakeconn_v2_2,iws_sdf,iws_streamdensity_streams_density_mperha,elevation_m,wlconnections_allwetlands_shoreline%,roaddensity_mperha,baseflow_mean,runoff_mean,totalNdep_19902010_diff,hu4_nlcd2006_agr,totalNdep_1990_mean,prism_ppt_mean,prism_tmean_mean
8158,6,-70.379417,44.027042,0,1,0,1,1,1,0,4,221,2.6,6.81,11.5824,7.306972082,76.29,1.874470161,0,1,2.380116065,11.1294,93.12800598,8.1948322,34.3101,49.9942,26.9537,2.6657,2.9295,5.1774,1218.6781,5.0378
8159,2,-68.382759,45.175343,0,0,0,1,0,1,0,13,301,4.4,3.05,4.2672,99.83661853,73.68,1.969401091,0,1,2.430832237,7.119,57.69800186,13.2809754,7.8449,50.2865,26.0229,2.2685,1.7945,4.2741,1130.3441,4.9599
8161,6,-70.469077,44.116696,0,0,0,0,1,1,0,9,351,3.3,6.61,10.3632,17.40409746,74.09,2.609808351,0,1,2.832966414,10.9033,91.87800598,7.9215561,24.5256,49.9942,26.9537,2.6657,2.9295,5.1774,1218.6781,5.0378
8162,4,-70.050097,45.181937,0,1,0,1,0,1,0,1,272,2.6,7.19,9.144,3.784710716,79.81,1.696613333,1,0,2.501728754,1.7182,376.8860168,6.531881,6.194,47.7583,25.2737,2.4415,3.9567,4.5334,1146.4893,5.0186
8163,8,-70.64247,43.537621,1,1,0,1,0,1,0,18,NA,5.1,1.8,6.7056,16.87440132,62.12,6.011835524,0,1,3.25447397,11.2897,82.70500183,23.413824,19.2281,53.7978,25.0599,2.2899,4.7385,5.1076,1215.8701,7.2854
8165,3,-69.479394,44.323147,0,1,0,0,1,1,1,9,NA,3.6,4.37,5.4864,4.155160413,73.13,1.371714931,0,0,2.135167794,0,58.88999939,2.3103632,27.923,53.6855,26.4695,1.9867,2.0899,4.5072,1195.1956,6.6209
8166,3,-69.244962,44.190306,0,1,0,1,1,1,0,8,170,4.2,6.55,17.3736,14.19610126,77.62,3.359294121,0,1,2.606180968,8.6964,33.44637299,18.5288406,21.136,53.6855,26.4695,1.9867,2.0899,4.5072,1195.1956,6.6209
8167,3,-69.214736,44.218756,0,1,0,1,1,0,0,3,212,0.7,6.6,9.144,3.640239657,69.48,2.915500436,0,1,2.907051832,1.2921,80.89199829,8.6830155,49.7705,53.6855,26.4695,1.9867,2.0899,4.5072,1195.1956,6.6209
8168,3,-69.512686,44.290403,0,0,0,0,1,1,0,12,NA,4.5,4.65,4.8768,11.83965054,73.94,2.360982656,0,1,2.847519124,13.677,54.0890007,11.9531555,21.9236,53.6855,26.4695,1.9867,2.0899,4.5072,1195.1956,6.6209
8169,1,-68.838209,46.974593,0,0,0,1,1,0,0,3,129,2.8,7.1,27.432,3.843358493,94.4,1.259601692,1,0,2.131891333,2.2112,373.2529907,3.4476726,0,51.5325,22.633,1.9828,5.7136,3.7653,1058.3433,3.6599
